year,tokens,characters,rel_characters,alternatives,rel_alternatives,true,alt_rel_to_total_buit
1891,65626965,1001678,1.5263207737855924,605,0.0009218771582687087,7440,7.520198881292728
1892,65454750,1037716,1.585394490086663,568,0.0008677750659806967,8756,6.091806091806092
1893,68486312,1058635,1.5457614362414491,643,0.0009388737416609615,9724,6.2023729140542105
1894,68952759,1145384,1.6611140969718121,528,0.00076574165799515,8699,5.722336620786821
1895,84136979,1328440,1.5789014720863699,837,0.0009948063383640147,10968,7.090216010165184
1896,83988260,1133069,1.3490802166874274,633,0.000753676763871522,9800,6.067286494776191
1897,83997358,1044828,1.243881980192758,521,0.0006202576038165391,10170,4.8732578804602005
1898,84227082,1074324,1.275508986527635,928,0.0011017833907626053,11343,7.562545839784858
1899,90473623,1159410,1.2814895231950643,824,0.0009107626871535806,11179,6.864950429059402
1900,87485626,977721,1.1175790180663507,699,0.000798988396105207,10078,6.486035074696112
1901,95242595,1104170,1.15932372485231,828,0.0008693589249641927,10490,7.315780173175472
1902,94003696,1090381,1.1599341796092784,953,0.001013789925876957,10045,8.66521185670122
1903,90498127,1078678,1.19193406069056,621,0.0006862020470324209,9521,6.123052652336817
1904,99142898,1282372,1.2934582565863668,549,0.0005537461694936535,10946,4.775989560678555
1905,93720212,1106175,1.1802950253676336,482,0.0005142967452954545,12467,3.722295157927253
1906,93693235,1118407,1.1936902381479304,423,0.0004514733641121474,11707,3.48722176422094
1907,93507206,1111756,1.188952218292139,542,0.0005796344722352201,9122,5.608443708609272
1908,103219327,1279602,1.2396922525952916,698,0.0006762299467424352,12574,5.259192284508741
1909,103472217,1303948,1.2601914193063053,604,0.000583731573084976,11634,4.935446968458899
1910,136792841,1815800,1.32740864706509,777,0.0005680121812807441,13244,5.5416874687968045
1911,138472470,1849939,1.335961581388705,1024,0.000739497172253806,15251,6.291858678955453
1912,149756060,1982049,1.323518393846633,1303,0.0008700816514537042,15529,7.741207224334601
1913,140628218,1634894,1.1625646852753266,798,0.0005674536813088252,13430,5.608658982288445
1914,133845074,1486516,1.1106243626119554,868,0.0006485109791937505,14247,5.742639761826001
