ngram,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
derzelve,0,0,0,0,0,0,0,0,0,0,11,0,16,0,17,13,15,18,11,11,14,13,0,11,0,11,11,13,16,14,19,0,14,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pruissische,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,12,19,24,14,0,0,14,11,19,15,13,20,11,15,18,31,38,32,51,36,24,24,39,18,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duitsche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,14,13,15,0,0,0,35,37,35,28,16,11,19,15,14,15,15,22,27,28,30,40,58,27,43,36,30,24,58,64,43,34,37,39,35,34,35,48,38,32,47,49,50,51,39,41,50,54,44,54,42,45,44,68,68,82,69,85,66,81,81,59,75,86,88,90,92,76,83,103,91,82
kleine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,11,14,13,15,0,16,17,19,16,19,19,22,26,20,26,24,20,17,18,23,30,28,36,25,23,25,25,21,31,21,26,32,38,38,37,44,47,42,41,38,48,44,47,52,52,46,50,47,72,65,62,68,72,55,59,66,52,74,79,62,63,65,69,79,80,83,79
vast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,15,14,14,19,20,27,28,37,34,36,39,33,40,40,39,42,55,49,24,28,29,29,32,30,38,35,39,44,35,35,39,71,48,54,59,58,70,74,77,79,73,74,62,73,74,78,81,94,86,85,89,78,93,83,79,75,79,85,87,81,93,78
oude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,11,0,15,17,14,19,17,18,16,16,17,16,14,14,22,22,28,17,19,22,21,22,21,23,31,21,28,30,23,25,24,23,23,27,26,23,27,42,40,40,48,42,37,43,31,43,43,46,39,45,43,42,49,67,59,66,54,55,54,61,58,52,72,64,59,53,69,57,77,70,80,74
ver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,12,15,20,14,17,17,15,23,17,15,19,20,20,21,15,19,20,18,23,21,21,23,24,30,27,31,34,36,39,20,20,21,22,22,19,21,26,18,24,23,23,27,23,23,20,21,23,22,26,20,26,25,27,27,41,37,37,35,35,37,38,38,39,42,37,35,36,36,40,55,48,60,64
waa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,21,23,25,20,34,38,28,23,20,26,24,31,27,34,36,35,40,39,59
zeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,14,11,0,13,12,12,12,17,18,17,16,19,21,22,21,20,17,22,20,16,19,22,22,26,27,26,30,30,27,32,34,30,33,38,31,28,31,25,35,34,30,38,37,45,45,39,47,44,43,42,37,41,38,45,46,45,45,48,46,57,57,56,58,57,55,54,55,49,55,55,57,52,55,53,59,60,61,58
natuurlijk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,13,15,27,20,20,18,25,24,24,33,30,24,24,25,27,29,26,25,29,37,34,36,35,40,34,37,33,33,36,39,42,42,37,43,38,45,47,45,55,56,49,49,47,47,52,53,51,51,53,49,57,54,60,58
dle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,54,45,55
juist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,14,17,19,22,17,19,20,19,19,16,18,20,18,16,21,23,21,29,26,26,29,25,27,31,31,32,33,32,29,26,30,28,31,30,31,27,33,37,32,32,33,33,30,31,28,34,32,36,37,35,37,38,36,46,42,43,46,47,42,46,44,38,49,48,46,48,43,47,51,49,52,48
amerikaansche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,20,12,11,24,13,16,0,26,15,16,22,23,18,22,20,16,15,27,25,27,31,29,30,24,27,39,29,35,28,33,27,28,23,39,35,41,78,54,44,45,40,36,46,38,38,42,40,44,44,43,48,48
turksche,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,32,43,17,19,0,17,0,15,15,14,0,0,0,25,25,16,20,15,0,0,0,11,28,42,63,35,24,22,23,24,11,0,13,11,0,0,0,12,0,0,0,11,29,29,43,17,16,0,19,11,24,15,12,0,0,27,28,24,40,71,48
europeesche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,13,16,14,27,14,16,0,14,15,20,23,18,16,13,12,22,30,33,39,37,28,41,36,23,29,28,29,22,31,29,29,25,36,42,45
aanvankelijk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,12,0,0,14,12,0,14,15,15,19,14,17,17,17,16,15,21,16,16,23,15,15,11,13,17,17,18,13,12,14,19,15,19,19,16,17,17,16,19,23,18,24,23,20,21,27,22,22,19,25,22,24,24,27,28,28,31,31,34,31,36,39,41,41
